Column1,X,Y
1,-0.895250889,-0.234923526
2,-1.562454327,-0.885175993
3,-0.417089883,0.271888018
4,1.044355725,-0.734197504
5,-0.315568407,0.84198343
6,-1.737123849,-2.037191041
7,1.966413157,1.452956662
8,2.152867898,-0.434138628
9,-0.081208027,1.450808502
10,-0.891781794,0.821016235
11,-0.293201702,-1.042391122
12,0.505779171,0.608477826
13,0.526751254,-0.222493343
14,1.066469321,1.231356675
15,0.294015895,0.62858948
16,0.0425493,-1.267573618
17,1.830969581,-0.572751605
18,-0.326937499,-0.487472465
19,0.521480416,2.565985287
20,1.399868347,-0.357836127
21,-0.645447596,-1.412431389
22,-0.904351878,-0.568304791
23,-1.76458607,-0.746272562
24,-1.810484638,0.493747359
25,-1.169898914,-2.725281495
26,-0.685375735,-0.457615734
27,1.090918032,0.014494508
28,-0.432340114,-0.399831024
29,0.268814775,-0.20160835
30,-0.851840754,-1.741829286
31,-1.497084172,-0.826033329
32,0.088774746,-0.887360713
33,-1.60172431,-0.695299046
34,-1.24685724,-1.529584884
35,-1.062989128,-0.110637447
36,-0.266283055,0.04516347
37,1.676583833,2.520052883
38,0.119572571,0.535542781
39,-0.086007987,1.363595828
40,0.36808029,1.72937251
41,-0.271494207,1.379267327
42,-0.085926462,-0.127662574
43,-0.190750154,-0.461333358
44,-0.781679768,1.022397877
45,0.792436346,-0.814298089
46,-0.282869886,-1.038468807
47,-0.236625532,0.928450553
48,1.171830091,1.72983145
49,0.496942769,-0.925139826
50,-0.887370979,-2.283497959
51,-1.306953158,-2.381600581
52,-2.43276412,-2.025545585
53,-0.407188961,-0.335098643
54,-0.285665299,-1.308781313
55,1.522214883,1.201003153
56,-0.998106907,-0.9462689
57,-0.289973726,0.20625658
58,-1.236839243,-0.675447507
59,-0.359506962,-2.70015447
60,0.543559153,0.422547552
61,-0.403647283,-0.054389923
62,1.303308933,1.328967474
63,-0.717117243,1.331379798
64,-1.012707884,-0.924769231
65,0.831992902,2.247745869
66,1.337643596,0.868256457
67,0.60169351,-0.198217563
68,1.30285098,1.104666376
69,-0.881700579,-1.540684785
70,-0.824529071,-1.337007877
71,-0.984356518,-1.139160266
72,-1.384991507,0.702699933
73,-0.35884256,-1.69451277
74,-0.226618229,0.801938548
75,-0.941077437,-0.733188709
76,2.460335948,-0.048372817
77,0.716797281,0.60233676
78,-0.248087023,-1.018490374
79,1.010772889,0.052978022
80,2.313048634,1.752358879
81,0.835179797,0.985714876
82,-1.071903339,-1.247297873
83,-1.650526144,0.21546453
84,-0.60048569,-0.420940527
85,-0.058529383,0.127620874
86,0.075726745,-0.522149221
87,-1.157831561,0.590893742
88,1.673606088,0.114623316
89,-1.04398824,-0.418944284
90,0.014687477,-0.558746621
91,0.67532197,1.482629788
92,1.77834231,0.942774111
93,-1.295763639,-1.085203813
94,0.079602022,-0.539100814
95,2.260857714,0.67322484
96,0.479090923,1.454774461
97,-0.535019997,-0.399174811
98,-0.773129331,-0.95717485
99,0.403634339,1.396038169
100,-0.588496439,-0.497285091
